"","location","environ_var_code","week_epidemiar","ref_value","ref_sd","ref_yrcount","ref_max","ref_uq","ref_median","ref_lq","ref_min"
"110","Abargelie","lst_mean",4,28.565512529149,0.542261369608601,17,29.3974116499277,28.9977300397919,28.6086685143709,28.2618883563944,27.5794171384133
"111","Abargelie","lst_mean",5,29.1637363624144,0.647782062691112,17,30.8064660983815,29.4555095477677,29.0746742999296,28.8257077427422,27.8284336149185
"112","Abargelie","lst_mean",6,29.5500240046668,0.652724529239182,17,30.9959841833162,29.7385999875984,29.6097274201478,29.0692296233372,28.4698273416445
"113","Abargelie","lst_mean",7,30.1305806102538,0.922078448746707,17,31.8004582259462,30.7337476100659,30.2597934790014,29.8464333589692,28.608061006157
"114","Abargelie","lst_mean",8,30.9958754686539,1.36726698034715,17,33.8456037886632,31.6296002557038,31.226860628555,30.291187125935,28.0831490232497
"115","Abargelie","lst_mean",9,31.2382470174138,1.10640475950312,17,33.8296230026595,31.8434825583145,30.8999534319608,30.3852395366152,29.6588446467624
"116","Abargelie","lst_mean",10,31.4755492064894,1.00483907031769,17,33.8349662662524,32.0041332525999,31.208271550531,30.7382989008912,30.3444139313749
"117","Abargelie","lst_mean",11,31.7682235193994,1.13231300556454,17,34.1067376378643,32.2572811219294,31.8733659479423,31.5152498144828,28.6976197330148
"118","Abargelie","lst_mean",12,32.1109151835569,0.983059864278808,17,33.4747944764058,32.7923063762062,32.1268318941045,31.4360937351349,29.6140544456134
"119","Abargelie","lst_mean",13,32.5733441661444,1.15437880272027,17,34.2852599481104,33.3331499009655,32.8049193238028,31.8407474639845,29.4491449563236
"120","Abargelie","lst_mean",14,32.5845916584587,1.12319638348121,17,34.3265418612117,33.1751110648043,32.8354145733964,31.6398117483791,30.3106207806409
"121","Abargelie","lst_mean",15,32.4315779117522,1.31418043704608,17,34.424646440126,33.3165051536648,32.3586041465012,31.4338678479207,30.1924202245357
"122","Abargelie","lst_mean",16,32.6180125228298,1.10761961521084,17,34.5037226547413,33.4832407936516,32.4484383687008,31.810862803817,30.9781808297054
"123","Abargelie","lst_mean",17,32.5523227139753,1.32247475392731,17,34.2704251059858,33.7260886771278,32.672915866953,31.6921110046531,29.9240170635594
"124","Abargelie","lst_mean",18,32.5753213247978,1.86712526726511,17,35.1044997449714,33.6083730617366,33.1245730035495,31.3435051426165,27.7216966115788
"125","Abargelie","lst_mean",19,32.8238423897156,1.25411885096391,17,34.9227305645799,33.4533768211836,32.6886678453428,32.1611025410772,30.2834169628701
"126","Abargelie","lst_mean",20,32.3979491776766,1.55858298430058,17,35.129321154362,33.2891672594829,32.2867286520189,31.9599061243079,28.9813907590646
"127","Abargelie","lst_mean",21,31.7454632487974,1.8677562812854,17,34.6867151241477,32.9186724426093,31.8499732081862,30.8855807706674,28.4981080406745
"128","Abargelie","lst_mean",22,31.2456536918836,1.73681654688587,17,35.0131277831416,32.462163808771,31.2184879197461,29.9386411947001,28.2638695771305
"129","Abargelie","lst_mean",23,30.1478165970324,2.16095782832605,17,33.5025214288477,31.9365505033363,29.8477938491152,28.9307658288224,24.8662652242333
"130","Abargelie","lst_mean",24,28.1857930328704,1.75811718235824,17,32.855904811417,28.5628910000646,28.1326808208737,27.4440348112861,24.8662652242333
"131","Abargelie","lst_mean",25,27.2308262520575,2.53437699624174,17,32.060292531007,27.9696990808789,27.4771089629328,25.4107667123529,23.0527047234183
"132","Abargelie","lst_mean",26,25.7836585104889,2.79492671854683,17,29.9899992182964,28.4245676629487,25.2921309894273,23.4403324528059,21.370553345321
"133","Abargelie","lst_mean",27,24.7573075479967,2.79871859451993,17,29.6631403092002,26.6882311113343,24.357455856473,23.0769478170349,18.3191182823461
"134","Abargelie","lst_mean",28,23.7942546932017,2.07669611461403,17,27.5465238191178,24.533053291769,23.6801459821686,23.0553171576593,19.3099189709011
"135","Abargelie","lst_mean",29,23.0859885484707,1.47679143490068,17,25.3081886634134,23.9791411959322,23.0398416979086,22.605470154438,19.4814034009724
"136","Abargelie","lst_mean",30,23.3213144159306,1.42923488802924,17,26.9956099553224,23.5746113596375,23.014991637449,22.2669305385794,21.1687582596019
"137","Abargelie","lst_mean",31,22.525254810844,1.73536812517856,17,26.1812273805006,23.7563575321499,22.2874183609739,21.4694277837305,19.1746027207542
"138","Abargelie","lst_mean",32,21.8635098970567,1.47402766667069,17,24.2523874107305,22.7128600549761,21.94955626602,20.9937973035734,19.1746027207542
"139","Abargelie","lst_mean",33,22.2236517498296,1.3854369635025,17,24.2752172592661,23.1827906836551,22.31251534488,21.2766882237769,18.9224420640214
"140","Abargelie","lst_mean",34,22.3216849137473,1.24005472678621,17,24.2410396073892,22.9950395699221,22.3529436589348,21.8987225702127,19.1556620594209
"141","Abargelie","lst_mean",35,22.4576526974242,1.50128222116489,17,24.3698553137142,23.5230516035294,22.6158635096544,21.6130565461988,19.1556620594209
"142","Abargelie","lst_mean",36,23.86812850982,1.38488523168343,17,25.6714719846013,24.826223378472,24.0531053858418,23.0609717851916,19.7719438682671
"143","Abargelie","lst_mean",37,25.2234360346001,1.28301624722057,17,27.6639988915002,26.0475930335556,25.2347541487858,24.419281901788,22.3395506391193
"144","Abargelie","lst_mean",38,27.0058685231812,1.23849194591695,17,29.4897950564347,27.6417452440346,26.8948541764234,26.6259663280389,24.4054804573206
"145","Abargelie","lst_mean",39,28.4401934400087,0.817655627067715,17,29.9946541308803,28.9134580454649,28.271120512567,27.8034436674683,27.1986341268124
"146","Abargelie","lst_mean",40,29.3291040968846,0.905567412435074,17,30.4951216587724,30.1309873032585,29.5000248645218,28.9047854844225,27.36247714356
"147","Abargelie","lst_mean",41,29.7763371254602,0.846074480484105,17,31.1650580213095,30.3807119195645,29.8380228746235,29.5203100147371,27.700007014092
"148","Abargelie","lst_mean",42,29.8744354819871,0.925121190968987,17,31.4834448011913,30.3841958036593,29.8149766054987,29.4505066230714,27.8779902487619
"149","Abargelie","lst_mean",43,29.913033031539,0.887384440028168,17,31.5419892384681,30.4744568750004,29.8709456620279,29.6558934440769,27.6022854890258
"150","Abargelie","lst_mean",44,29.6154673828117,1.00877786297597,17,31.5894952612555,30.3104788185086,29.5747859938659,28.693629397709,27.7911273441144
"151","Abargelie","lst_mean",45,29.349732010876,1.04299960086056,17,30.9092355218328,30.129894849036,29.2937572772152,28.5962695998586,27.5006296444515
"152","Abargelie","lst_mean",46,29.134742812488,0.841373926708919,17,30.5710841109507,29.5673634737658,29.10003848753,28.6433657576682,27.0819328007297
"153","Abargelie","lst_mean",47,28.7025801229763,0.765779266359295,17,30.380488725035,29.1557677588602,28.4705661389529,28.1669343965765,27.7658308899486
"154","Abargelie","lst_mean",48,28.4993166522325,0.734912478341802,17,29.9832528177439,29.112390922332,28.436326483263,28.0990142085612,27.0710668850113
"155","Abargelie","lst_mean",49,28.0813029613105,0.757148074918449,17,29.2897254314771,28.5482399404872,27.8171317782829,27.6904054433109,26.3590805344123
"156","Abargelie","lst_mean",50,27.7322478884184,0.622314924169784,17,28.7731295416421,28.1760908810241,27.9001089196178,27.2813549998189,26.2253842983399
"157","Abargelie","lst_mean",51,27.4751629726121,0.629245403801719,17,28.4051707525462,27.8848503157015,27.6058801402382,27.1623610186168,26.3441719365418
"158","Abargelie","lst_mean",52,27.2749418385977,0.703266423916221,17,28.5110975283401,27.7309794571543,27.3667876431122,27.0045833980368,25.4196895709566
"159","Abargelie","lst_mean",53,27.1574131823499,0.539984951223434,3,27.6692542761024,27.4395630862819,27.2098718964615,26.9014926354736,26.5931133744857
"160","Abargelie","lst_night",1,19.743177909442,0.695139439493933,18,20.9745544917259,20.142302652052,19.7949147449499,19.457016863498,17.9605760332034
"161","Abargelie","lst_night",2,19.9848110710469,0.691432614392146,17,21.1830022728542,20.4734440094057,20.1605014457759,19.6269312969509,18.4043532247462
"162","Abargelie","lst_night",3,20.358627206308,0.573780618893809,17,21.2262659883909,20.6156413370987,20.5334960217379,19.9152707384905,19.1910971385852
"163","Abargelie","lst_night",4,20.7978338978311,0.487037156168094,17,21.5326256407172,21.1852517049476,20.69440641555,20.4065744287636,19.9395360197983
"164","Abargelie","lst_night",5,21.0793610290512,0.618102876092832,17,22.1421939702768,21.4692298013355,21.0757590369432,20.7563060871124,19.5467942443941
"165","Abargelie","lst_night",6,21.2847191295147,0.548524631863314,17,22.3124320399404,21.6816307345376,21.3600420628408,20.7709196742754,20.4132919190611
"166","Abargelie","lst_night",7,21.5944197901516,0.741952165852117,17,23.2362417437942,21.8791880024233,21.6094953686683,21.242509463065,20.3814253674591
"167","Abargelie","lst_night",8,22.218372571403,0.88760210891997,17,23.9856497828114,22.8342841245767,22.2120595017644,21.4767302509347,20.9985252656318
"168","Abargelie","lst_night",9,22.0822130697029,0.865146441265001,17,24.0254556173503,22.6305348296648,22.089330689547,21.2475245530248,20.8336919364927
"169","Abargelie","lst_night",10,22.2548983520293,0.877267518341529,17,24.0921200334637,22.6857314177642,22.1066228258888,21.7475216927762,20.5983498697851
"170","Abargelie","lst_night",11,22.342081804212,0.842810378341182,17,23.8950190120603,22.8559459965419,22.4166707197085,22.0516803960647,20.2101218490464
"171","Abargelie","lst_night",12,22.3978818995422,1.2452711265988,17,24.4960051042548,22.8222231435852,22.7440021936757,22.1007311679329,18.9745361581782
"172","Abargelie","lst_night",13,22.5233934500989,1.39596677513932,17,24.0415851546959,23.4856478984845,22.7623201465233,22.1737338336109,19.1815049570802
"173","Abargelie","lst_night",14,22.7049481214427,0.890487823154196,17,24.0242034422417,23.2126695265061,23.0945595493329,21.865283431611,20.7238899635639
"174","Abargelie","lst_night",15,22.4556700551634,1.05875435126054,17,24.1049027668916,22.7449375072504,22.4684164472889,22.0531200709047,20.7317906997728
"175","Abargelie","lst_night",16,22.8503221674308,0.803829274465833,17,24.3807302473241,23.3263255012034,22.8476457207673,22.3477720504607,21.6467443970443
"176","Abargelie","lst_night",17,22.8390039957757,0.801302722085621,17,24.107508502488,23.4403694508262,22.9898275871593,22.4364140031881,21.3009861781248
"177","Abargelie","lst_night",18,23.0282620973463,0.931307173395838,17,24.3985302986873,23.6827958623374,23.0857942369681,22.5946625492579,20.8906936205961
"178","Abargelie","lst_night",19,23.406607330047,0.681325096298061,17,24.5052412153234,23.986738936739,23.3062235879671,22.8539818404902,22.4061821511893
"179","Abargelie","lst_night",20,22.8967944269465,0.937692208498015,17,24.3095550287897,23.5375743925501,23.2911028652204,22.4686819164157,20.977593080637
"180","Abargelie","lst_night",21,22.4030638714977,1.42464840054412,17,24.148952081015,23.3815581806616,22.715161079259,21.8608773376854,19.3206412307143
"181","Abargelie","lst_night",22,22.0293595473976,1.09821726301386,17,24.3492120321944,22.9365643381011,22.0494018034601,21.3020428175631,19.7579874227929
"182","Abargelie","lst_night",23,21.2077678674675,1.59027091225109,17,23.3023597296636,22.560454042986,21.3508365439762,20.3388156238319,17.8891406119548
"183","Abargelie","lst_night",24,19.9388057844876,1.30845057797905,17,23.0060420481099,20.8689065451564,19.6809996814444,19.0478070578623,17.8891406119548
"184","Abargelie","lst_night",25,19.3400071522077,2.57171687286252,17,23.2065023597816,21.5510161689204,19.1299511916373,17.2714230959403,15.6110916228001
"185","Abargelie","lst_night",26,18.6833021264502,2.11085691705041,17,21.9688561286257,20.5348185961439,18.554211749756,17.399766435727,15.2642194146515
"186","Abargelie","lst_night",27,17.8609465007415,2.34493410822805,17,21.5479709175322,18.9930316128259,18.0506746348493,17.2036183064857,11.4753164365484
"187","Abargelie","lst_night",28,17.6677681729019,1.61605639239893,17,20.0284740266715,18.5296458034672,17.7544256477757,17.438869907177,13.7828652946949
"188","Abargelie","lst_night",29,17.3494162095387,1.26533308915063,17,19.1975388419922,18.0992527508411,17.280215383955,16.5930224376558,15.0006356612432
